PortNumber,AccNumber,LocNumber,CountryCode,LocPerilsCovered,LocCurrency,AreaCode,AreaName,GeogScheme1,GeogName1,Latitude,Longitude,BuildingTIV,ConstructionCode,OccupancyCode,LocDed1Building,DedCode1Building,DedType1Building,LocLimit1Building,LimitType1Building,OrgConstructionScheme,OrgConstructionCode,OrgOccupancyScheme,OrgOccupancyCode
1,A0001,LOC00001,US,WTC,USD,FL,Florida,CNTY,Hillsborough,27.8758,-82.3089,197488,5050,1055,19749,0,0,197488,0,MODEL,Wood Frame,MODEL,Condo
1,A0001,LOC00002,US,WTC,USD,FL,Florida,CNTY,Palm Beach,26.7424,-80.243,1890148,5100,1051,94507,0,0,1890148,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00003,US,WTC,USD,FL,Florida,CNTY,Collier,26.1035,-81.5203,339041,5050,1051,16952,0,0,339041,0,MODEL,Wood Frame,MODEL,Single Family
1,A0001,LOC00004,US,WTC,USD,FL,Florida,CNTY,Pinellas,27.8717,-82.7236,819808,5150,1051,40990,0,0,819808,0,MODEL,Reinforced Concrete,MODEL,Single Family
1,A0001,LOC00005,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.5994,-80.4307,333213,5100,1055,6664,0,0,333213,0,MODEL,Masonry,MODEL,Condo
1,A0001,LOC00006,US,WTC,USD,FL,Florida,CNTY,Monroe,24.8223,-80.9895,339530,5100,1051,16976,0,0,339530,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00007,US,WTC,USD,FL,Florida,CNTY,Hillsborough,28.0117,-82.1303,214203,5100,1055,21420,0,0,214203,0,MODEL,Masonry,MODEL,Condo
1,A0001,LOC00008,US,WTC,USD,FL,Florida,CNTY,Hillsborough,27.85,-82.434,384651,5350,1051,19233,0,0,384651,0,MODEL,Manufactured,MODEL,Mobile Home
1,A0001,LOC00009,US,WTC,USD,FL,Florida,CNTY,Miami-Dade,25.5058,-80.323,453915,5100,1051,9078,0,0,453915,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00010,US,WTC,USD,FL,Florida,CNTY,Palm Beach,26.7605,-80.3893,181312,5100,1051,9066,0,0,181312,0,MODEL,Masonry,MODEL,Single Family
1,A0001,LOC00011,US,WTC,USD,FL,Florida,CNTY,Broward,26.1088,-80.2783,313893,5100,1051,31389,0,0,313893,0,MODEL,Masonry,MODEL,Single Family
