storm_id,name,year,datetime,lat,lon,vmax_kt,pmin_mb,status
AL011851,UNNAMED,1851,1851-06-25 19:29:25.601705106+00:00,28.14966894452198,-96.64900683356595,80.0,,HU
AL041851,UNNAMED,1851,1851-08-23 20:15:17.898660954+00:00,29.97577176751778,-85.79938258598578,100.0,,HU
AL061851,UNNAMED,1851,1851-10-19 15:37:28.288538150+00:00,41.28728590017005,-71.67919045553666,47.91825135356481,,TS
AL011852,UNNAMED,1852,1852-08-26 05:33:09.718531273+00:00,30.170192269306018,-88.6,100.0,,HU
AL031852,UNNAMED,1852,1852-09-11 21:56:04.104669583+00:00,27.96556175958188,-83.00662944250871,70.0,,HU
AL051852,UNNAMED,1852,1852-10-09 19:53:40.070362625+00:00,29.641943913298185,-84.5843257762156,90.0,,HU
AL011854,UNNAMED,1854,1854-06-26 12:28:48.948205404+00:00,26.215992152550054,-97.11994114412542,68.39912203203333,,HU
AL031854,UNNAMED,1854,1854-09-08 17:30:54.624810027+00:00,31.559601716393832,-81.08384068655752,100.0,,HU
AL041854,UNNAMED,1854,1854-09-18 20:31:47.826747120+00:00,28.88432615915577,-95.26865231831154,90.0,,HU
AL051855,UNNAMED,1855,1855-09-16 02:39:11.323219657+00:00,29.153772788189986,-89.5,110.0,,HU
AL011856,UNNAMED,1856,1856-08-10 15:28:00.225781226+00:00,28.988736693643613,-90.84648403237233,130.0,,HU
AL031856,UNNAMED,1856,1856-08-19 10:36:37.744299934+00:00,34.72208941477228,-76.36883576590891,50.0,,TS
AL051856,UNNAMED,1856,1856-08-31 05:27:51.792604513+00:00,30.08392858112075,-85.96249999478114,90.0,,HU
AL021857,UNNAMED,1857,1857-09-12 23:11:10.485740503+00:00,33.81860971029362,-78.04069514485319,90.0,,HU
AL041857,UNNAMED,1857,1857-09-30 11:17:11.664604463+00:00,25.928615392070487,-97.32153848017622,50.0,,TS
AL031858,UNNAMED,1858,1858-09-16 16:57:40.225034666+00:00,40.881319298462884,-72.20856198820452,80.0,,HU
AL051859,UNNAMED,1859,1859-09-15 23:08:04.360098191+00:00,30.198976524531787,-88.17215962533443,70.0,,HU
AL071859,UNNAMED,1859,1859-10-17 15:25:21.653886991+00:00,26.3711097903482,-80.01332937104459,60.0,,TS
AL081859,UNNAMED,1859,1859-10-28 17:39:31.270641068+00:00,27.64287594254504,-82.9256729264009,80.0,,HU
AL011860,UNNAMED,1860,1860-08-11 19:20:57.317330664+00:00,29.13492593606628,-90.03253703196685,110.0,,HU
AL041860,UNNAMED,1860,1860-09-15 02:57:43.188940211+00:00,29.196226915315723,-89.62594327117107,90.0,,HU
AL061860,UNNAMED,1860,1860-10-02 16:02:45.545794605+00:00,29.30935190467344,-91.43812961906532,90.0,,HU
AL021861,UNNAMED,1861,1861-08-16 08:01:51.721823523+00:00,24.73531092903227,-82.66913866129033,76.61494360022053,,HU
AL051861,UNNAMED,1861,1861-09-27 16:53:23.502650248+00:00,34.438402427751,-77.41319947976764,70.0,,HU
AL081861,UNNAMED,1861,1861-11-02 09:47:46.914148070+00:00,34.62360474694657,-76.6356511180916,70.0,,HU
