storm_id,name,year,datetime,lat,lon,vmax_kt,pmin_mb,status
AL041851,UNNAMED,1851,1851-08-23 21:00:00+00:00,30.1,-85.7,100.0,,HU
AL031852,UNNAMED,1852,1852-09-12 00:00:00+00:00,28.0,-82.8,70.0,,HU
AL051852,UNNAMED,1852,1852-10-09 21:00:00+00:00,29.9,-84.4,90.0,,HU
AL051856,UNNAMED,1856,1856-08-31 06:00:00+00:00,30.2,-85.9,90.0,,HU
AL031858,UNNAMED,1858,1858-09-14 15:00:00+00:00,27.6,-82.7,60.0,,TS
AL071859,UNNAMED,1859,1859-10-17 16:00:00+00:00,26.4,-80.1,60.0,,TS
AL081859,UNNAMED,1859,1859-10-28 18:00:00+00:00,27.7,-82.8,80.0,,HU
AL081861,UNNAMED,1861,1861-11-01 08:00:00+00:00,26.0,-81.8,60.0,,TS
AL071865,UNNAMED,1865,1865-10-23 10:00:00+00:00,24.6,-81.7,90.0,,HU
AL071867,UNNAMED,1867,1867-10-06 15:00:00+00:00,29.6,-83.4,70.0,,HU
AL021868,UNNAMED,1868,1868-10-04 16:00:00+00:00,29.9,-85.4,60.0,,TS
AL091870,UNNAMED,1870,1870-10-20 14:00:00+00:00,24.7,-82.8,80.0,,HU
AL031871,UNNAMED,1871,1871-08-17 02:00:00+00:00,27.1,-80.2,100.0,,HU
AL041871,UNNAMED,1871,1871-08-25 05:00:00+00:00,27.1,-80.3,90.0,,HU
AL061871,UNNAMED,1871,1871-09-06 14:00:00+00:00,29.2,-83.0,70.0,,HU
AL071871,UNNAMED,1871,1871-10-05 16:00:00+00:00,30.0,-83.9,60.0,,TS
AL051872,UNNAMED,1872,1872-10-23 08:00:00+00:00,27.9,-82.7,50.0,,TS
AL031873,UNNAMED,1873,1873-09-19 15:00:00+00:00,29.9,-84.4,70.0,,HU
AL041873,UNNAMED,1873,1873-09-23 10:00:00+00:00,27.8,-82.8,50.0,,TS
AL051873,UNNAMED,1873,1873-10-07 01:00:00+00:00,26.5,-82.2,100.0,959.0,HU
AL061874,UNNAMED,1874,1874-09-28 03:00:00+00:00,29.1,-82.9,70.0,,HU
AL041875,UNNAMED,1875,1875-09-27 13:00:00+00:00,30.1,-85.7,50.0,,TS
AL051876,UNNAMED,1876,1876-10-20 05:00:00+00:00,25.8,-81.4,90.0,973.0,HU
AL021877,UNNAMED,1877,1877-09-19 20:00:00+00:00,30.4,-86.6,70.0,,HU
AL041877,UNNAMED,1877,1877-10-03 05:00:00+00:00,30.0,-85.5,100.0,,HU
AL071877,UNNAMED,1877,1877-10-26 21:00:00+00:00,29.3,-83.2,40.0,,TS
AL011878,UNNAMED,1878,1878-07-02 15:00:00+00:00,26.0,-81.8,40.0,,TS
AL051878,UNNAMED,1878,1878-09-08 02:00:00+00:00,25.2,-81.0,60.0,,TS
AL081878,UNNAMED,1878,1878-10-10 21:00:00+00:00,29.9,-85.4,50.0,,TS
AL061879,UNNAMED,1879,1879-10-16 08:00:00+00:00,30.4,-86.6,50.0,,TS
AL071879,UNNAMED,1879,1879-10-27 21:00:00+00:00,29.0,-82.7,60.0,,TS
AL041880,UNNAMED,1880,1880-08-29 12:00:00+00:00,28.2,-80.6,90.0,,HU
AL061880,UNNAMED,1880,1880-09-08 16:00:00+00:00,29.8,-83.6,50.0,,TS
AL021882,UNNAMED,1882,1882-09-10 02:00:00+00:00,30.4,-86.8,110.0,949.0,HU
AL061882,UNNAMED,1882,1882-10-11 04:00:00+00:00,29.5,-83.3,70.0,,HU
AL031885,UNNAMED,1885,1885-08-30 23:00:00+00:00,30.1,-85.7,50.0,,TS
AL041885,UNNAMED,1885,1885-09-21 12:00:00+00:00,30.0,-85.6,50.0,,TS
AL081885,UNNAMED,1885,1885-10-11 22:00:00+00:00,29.4,-83.2,60.0,,TS
AL021886,UNNAMED,1886,1886-06-21 11:00:00+00:00,30.1,-84.0,85.0,,HU
AL031886,UNNAMED,1886,1886-06-30 21:00:00+00:00,29.7,-85.2,85.0,,HU
AL041886,UNNAMED,1886,1886-07-19 01:00:00+00:00,28.8,-82.7,70.0,,HU
AL041887,UNNAMED,1887,1887-07-27 15:00:00+00:00,30.4,-86.6,75.0,,HU
AL161887,UNNAMED,1887,1887-10-30 01:00:00+00:00,28.1,-82.8,40.0,,TS
AL031888,UNNAMED,1888,1888-08-16 19:00:00+00:00,25.8,-80.1,110.0,,HU
AL051888,UNNAMED,1888,1888-09-08 00:00:00+00:00,26.7,-80.1,45.0,,TS
AL071888,UNNAMED,1888,1888-10-11 01:00:00+00:00,29.2,-83.1,95.0,970.0,HU
AL021889,UNNAMED,1889,1889-06-17 15:00:00+00:00,29.1,-82.9,45.0,,TS
AL091889,UNNAMED,1889,1889-10-05 23:00:00+00:00,24.7,-81.1,35.0,,TS
AL031891,UNNAMED,1891,1891-08-24 15:00:00+00:00,25.4,-80.2,70.0,,HU
AL071891,UNNAMED,1891,1891-10-07 08:00:00+00:00,25.2,-81.3,45.0,,TS
AL011892,UNNAMED,1892,1892-06-10 23:00:00+00:00,25.7,-81.3,40.0,,TS
AL091892,UNNAMED,1892,1892-10-24 19:00:00+00:00,27.6,-82.8,45.0,,TS
AL011893,UNNAMED,1893,1893-06-15 23:00:00+00:00,29.9,-83.7,60.0,,TS
AL041894,UNNAMED,1894,1894-09-25 11:00:00+00:00,24.7,-82.0,70.0,,HU
AL051894,UNNAMED,1894,1894-10-09 03:00:00+00:00,30.2,-85.5,105.0,,HU
AL061895,UNNAMED,1895,1895-10-16 13:00:00+00:00,25.7,-81.3,35.0,,TS
AL011896,UNNAMED,1896,1896-07-07 17:00:00+00:00,30.4,-86.5,85.0,,HU
AL041896,UNNAMED,1896,1896-09-29 11:00:00+00:00,29.2,-83.1,110.0,960.0,HU
AL051896,UNNAMED,1896,1896-10-09 02:00:00+00:00,26.4,-82.0,50.0,,TS
AL031897,UNNAMED,1897,1897-09-21 02:00:00+00:00,26.7,-82.3,60.0,,TS
AL011898,UNNAMED,1898,1898-08-02 03:00:00+00:00,27.1,-80.1,35.0,,TS
AL021899,UNNAMED,1899,1899-07-30 10:00:00+00:00,24.9,-80.6,40.0,,TS
AL061899,UNNAMED,1899,1899-10-05 10:00:00+00:00,27.9,-82.8,50.0,,TS
AL061900,UNNAMED,1900,1900-10-12 03:00:00+00:00,29.5,-83.3,40.0,,TS
AL011901,UNNAMED,1901,1901-06-13 21:00:00+00:00,29.9,-84.6,35.0,,TS
AL041901,UNNAMED,1901,1901-08-10 22:00:00+00:00,26.3,-80.1,40.0,,TS
AL081901,UNNAMED,1901,1901-09-17 20:00:00+00:00,30.4,-86.6,50.0,,TS
AL101901,UNNAMED,1901,1901-09-28 03:00:00+00:00,29.9,-84.6,40.0,,TS
AL011902,UNNAMED,1902,1902-06-14 23:00:00+00:00,29.8,-83.7,50.0,,TS
AL041902,UNNAMED,1902,1902-10-10 21:00:00+00:00,30.3,-87.3,50.0,,TS
AL031903,UNNAMED,1903,1903-09-11 23:00:00+00:00,26.1,-80.1,75.0,976.0,HU
AL041904,UNNAMED,1904,1904-10-17 08:00:00+00:00,25.3,-80.3,70.0,,HU
AL061904,UNNAMED,1904,1904-11-03 12:00:00+00:00,30.3,-86.7,35.0,,TS
AL011906,UNNAMED,1906,1906-06-12 20:00:00+00:00,30.1,-85.6,45.0,,TS
AL021906,UNNAMED,1906,1906-06-17 03:00:00+00:00,24.7,-81.1,70.0,979.0,HU
AL081906,UNNAMED,1906,1906-10-18 10:00:00+00:00,24.7,-81.1,105.0,953.0,HU
AL011907,UNNAMED,1907,1907-06-28 23:00:00+00:00,30.3,-85.9,50.0,,TS
AL031907,UNNAMED,1907,1907-09-28 20:00:00+00:00,30.1,-85.7,45.0,,TS
AL031909,UNNAMED,1909,1909-06-28 20:00:00+00:00,26.0,-80.1,45.0,,TS
AL081909,UNNAMED,1909,1909-08-29 09:00:00+00:00,26.4,-80.1,45.0,,TS
AL111909,UNNAMED,1909,1909-10-11 18:00:00+00:00,24.7,-81.0,100.0,957.0,HU
AL051910,UNNAMED,1910,1910-10-18 06:00:00+00:00,26.5,-82.0,95.0,955.0,HU
AL011914,UNNAMED,1914,1914-09-17 07:00:00+00:00,30.6,-81.4,60.0,,TS
AL011915,UNNAMED,1915,1915-08-01 18:00:00+00:00,28.7,-80.8,65.0,990.0,HU
AL041915,UNNAMED,1915,1915-09-04 11:00:00+00:00,30.0,-85.4,80.0,,HU
AL011916,UNNAMED,1916,1916-05-14 06:00:00+00:00,25.1,-81.0,35.0,1006.0,TS
AL071916,UNNAMED,1916,1916-08-25 08:00:00+00:00,25.6,-80.3,40.0,,TS
AL141916,UNNAMED,1916,1916-10-18 14:00:00+00:00,30.4,-87.4,95.0,970.0,HU
AL041917,UNNAMED,1917,1917-09-29 02:00:00+00:00,30.4,-86.6,100.0,949.0,HU
AL011919,UNNAMED,1919,1919-07-04 11:00:00+00:00,30.4,-87.0,55.0,995.0,TS
AL021919,UNNAMED,1919,1919-09-10 07:00:00+00:00,24.6,-82.9,130.0,927.0,HU
AL051920,UNNAMED,1920,1920-09-30 09:00:00+00:00,28.9,-82.9,55.0,,TS
AL061921,UNNAMED,1921,1921-10-25 20:00:00+00:00,28.1,-82.8,100.0,958.0,HU
AL051924,UNNAMED,1924,1924-09-15 14:00:00+00:00,29.7,-85.3,75.0,980.0,HU
AL081924,UNNAMED,1924,1924-09-29 21:00:00+00:00,30.0,-84.0,55.0,,TS
AL101924,UNNAMED,1924,1924-10-21 01:00:00+00:00,25.8,-81.8,80.0,975.0,HU
AL041925,UNNAMED,1925,1925-12-01 03:00:00+00:00,26.3,-81.9,55.0,,TS
AL071926,UNNAMED,1926,1926-09-18 12:00:00+00:00,25.6,-80.3,125.0,930.0,HU
AL011928,UNNAMED,1928,1928-08-08 07:00:00+00:00,27.3,-80.2,85.0,977.0,HU
AL021928,UNNAMED,1928,1928-08-13 03:00:00+00:00,24.7,-81.4,60.0,,TS
AL041928,UNNAMED,1928,1928-09-17 00:00:00+00:00,26.7,-80.0,125.0,929.0,HU
AL021929,UNNAMED,1929,1929-09-28 13:00:00+00:00,25.0,-80.5,100.0,948.0,HU
AL021930,UNNAMED,1930,1930-09-09 09:00:00+00:00,27.5,-82.7,40.0,,TS
AL031932,UNNAMED,1932,1932-08-30 04:00:00+00:00,25.3,-80.3,55.0,,TS
AL061932,UNNAMED,1932,1932-09-15 04:00:00+00:00,30.0,-83.9,50.0,,TS
AL051933,UNNAMED,1933,1933-07-30 16:00:00+00:00,27.1,-80.1,65.0,988.0,HU
AL111933,UNNAMED,1933,1933-09-04 05:00:00+00:00,26.9,-80.1,110.0,948.0,HU
AL111934,UNNAMED,1934,1934-10-06 01:00:00+00:00,30.3,-87.4,45.0,,TS
AL031935,UNNAMED,1935,1935-09-03 02:00:00+00:00,24.8,-80.8,160.0,892.0,HU
AL071935,UNNAMED,1935,1935-11-04 18:00:00+00:00,25.9,-80.1,85.0,973.0,HU
AL011936,UNNAMED,1936,1936-06-15 08:00:00+00:00,25.9,-81.7,40.0,,TS
AL051936,UNNAMED,1936,1936-07-29 02:00:00+00:00,25.3,-80.3,55.0,995.0,TS
AL091936,UNNAMED,1936,1936-08-21 22:00:00+00:00,28.9,-80.8,50.0,,TS
AL011937,UNNAMED,1937,1937-07-29 22:00:00+00:00,28.1,-82.8,55.0,,TS
AL031937,UNNAMED,1937,1937-08-30 14:00:00+00:00,29.1,-80.9,60.0,,TS
AL071937,UNNAMED,1937,1937-09-20 16:00:00+00:00,29.7,-85.4,35.0,,TS
AL021939,UNNAMED,1939,1939-08-11 23:00:00+00:00,27.2,-80.2,65.0,985.0,HU
AL051941,UNNAMED,1941,1941-10-06 10:00:00+00:00,25.5,-80.2,85.0,982.0,HU
AL061941,UNNAMED,1941,1941-10-20 14:00:00+00:00,29.0,-83.0,40.0,1004.0,TS
AL131944,UNNAMED,1944,1944-10-18 21:00:00+00:00,24.6,-82.9,105.0,949.0,HU
AL011945,UNNAMED,1945,1945-06-24 08:00:00+00:00,28.6,-82.7,70.0,,HU
AL071945,UNNAMED,1945,1945-09-05 00:00:00+00:00,26.5,-82.1,35.0,,TS
AL091945,UNNAMED,1945,1945-09-15 19:30:00+00:00,25.3,-80.3,115.0,949.0,HU
AL061946,UNNAMED,1946,1946-10-08 02:00:00+00:00,27.5,-82.6,75.0,980.0,HU
AL071946,UNNAMED,1946,1946-11-01 22:00:00+00:00,26.6,-80.1,40.0,1002.0,TS
AL041947,UNNAMED,1947,1947-09-17 16:30:00+00:00,26.1,-80.1,115.0,943.0,HU
AL061947,UNNAMED,1947,1947-09-23 22:00:00+00:00,28.9,-82.7,55.0,,TS
AL091947,UNNAMED,1947,1947-10-12 02:00:00+00:00,25.4,-81.2,80.0,975.0,HU
AL021948,UNNAMED,1948,1948-07-09 07:00:00+00:00,30.3,-87.3,35.0,,TS
AL081948,UNNAMED,1948,1948-09-21 17:00:00+00:00,24.6,-81.6,105.0,955.0,HU
AL091948,UNNAMED,1948,1948-10-05 18:00:00+00:00,24.7,-81.2,90.0,,HU
AL021949,UNNAMED,1949,1949-08-26 23:00:00+00:00,26.6,-80.0,115.0,954.0,HU
AL051950,EASY,1950,1950-09-05 17:00:00+00:00,29.1,-82.8,105.0,960.0,HU
AL111950,KING,1950,1950-10-18 05:00:00+00:00,25.7,-80.2,115.0,955.0,HU
AL131950,LOVE,1950,1950-10-21 11:00:00+00:00,29.7,-83.4,50.0,,TS
AL091951,HOW,1951,1951-10-02 10:00:00+00:00,26.7,-82.3,55.0,,TS
AL011953,ALICE,1953,1953-06-06 17:00:00+00:00,30.3,-85.9,40.0,,TS
AL081953,UNNAMED,1953,1953-09-20 17:00:00+00:00,29.0,-82.8,35.0,,TS
AL091953,FLORENCE,1953,1953-09-26 15:00:00+00:00,30.3,-86.2,80.0,,HU
AL121953,HAZEL,1953,1953-10-09 15:00:00+00:00,26.7,-82.2,75.0,,HU
AL071956,FLOSSY,1956,1956-09-25 00:00:00+00:00,30.4,-86.4,80.0,974.0,HU
AL111956,UNNAMED,1956,1956-10-15 21:00:00+00:00,25.2,-80.6,50.0,,TS
AL011957,UNNAMED,1957,1957-06-09 00:30:00+00:00,30.1,-84.2,45.0,1000.0,TS
AL051957,DEBBIE,1957,1957-09-08 17:00:00+00:00,30.3,-86.1,35.0,,TS
AL031959,UNNAMED,1959,1959-06-18 08:00:00+00:00,28.0,-82.8,40.0,1002.0,TS
AL111959,JUDITH,1959,1959-10-18 14:00:00+00:00,26.7,-82.3,55.0,998.0,TS
AL031960,BRENDA,1960,1960-07-29 06:00:00+00:00,29.7,-83.5,35.0,,TS
AL051960,DONNA,1960,1960-09-10 07:00:00+00:00,24.8,-80.9,125.0,930.0,HU
AL051964,CLEO,1964,1964-08-27 08:00:00+00:00,25.8,-80.1,95.0,968.0,HU
AL061964,DORA,1964,1964-09-10 06:00:00+00:00,29.9,-81.3,95.0,966.0,HU
AL111964,ISBELL,1964,1964-10-14 21:00:00+00:00,25.8,-81.4,90.0,970.0,HU
AL011965,UNNAMED,1965,1965-06-15 11:00:00+00:00,30.4,-86.9,50.0,1007.0,TS
AL031965,BETSY,1965,1965-09-08 11:00:00+00:00,25.0,-80.5,100.0,952.0,HU
AL091965,UNNAMED,1965,1965-10-18 15:00:00+00:00,29.4,-81.1,55.0,1004.0,TS
AL011966,ALMA,1966,1966-06-09 21:00:00+00:00,30.1,-84.2,75.0,977.0,HU
AL121966,UNNAMED,1966,1966-07-01 22:00:00+00:00,29.3,-83.1,40.0,,TS
AL091966,INEZ,1966,1966-10-04 18:00:00+00:00,25.0,-80.5,85.0,984.0,HU
AL011968,ABBY,1968,1968-06-04 12:00:00+00:00,26.7,-82.3,55.0,992.0,TS
AL141968,GLADYS,1968,1968-10-19 04:00:00+00:00,28.7,-82.7,85.0,978.0,HU
AL231969,UNNAMED,1969,1969-10-01 16:00:00+00:00,30.4,-86.8,40.0,999.0,SS
AL241969,JENNY,1969,1969-10-02 21:00:00+00:00,26.1,-81.8,40.0,1001.0,TS
AL021970,BECKY,1970,1970-07-22 10:00:00+00:00,29.7,-85.3,40.0,1007.0,TS
AL041983,BARRY,1983,1983-08-25 11:00:00+00:00,27.9,-80.6,30.0,1013.0,TD
AL111985,ISABEL,1985,1985-10-10 21:00:00+00:00,30.6,-81.4,35.0,1008.0,TS
AL131985,KATE,1985,1985-11-21 22:30:00+00:00,30.0,-85.4,85.0,967.0,HU
AL131987,FLOYD,1987,1987-10-12 21:00:00+00:00,25.1,-80.5,65.0,993.0,HU
AL121988,KEITH,1988,1988-11-23 07:00:00+00:00,27.3,-82.6,55.0,995.0,TS
AL041992,ANDREW,1992,1992-08-24 08:40:00+00:00,25.5,-80.2,145.0,926.0,HU
AL011994,ALBERTO,1994,1994-07-03 15:00:00+00:00,30.4,-86.5,55.0,993.0,TS
AL031994,BERYL,1994,1994-08-16 00:00:00+00:00,30.0,-85.6,50.0,1000.0,TS
AL121994,GORDON,1994,1994-11-15 13:00:00+00:00,24.6,-81.7,45.0,999.0,TS
AL011995,ALLISON,1995,1995-06-05 14:00:00+00:00,29.9,-84.4,60.0,991.0,TS
AL051995,ERIN,1995,1995-08-03 16:00:00+00:00,30.3,-87.2,75.0,973.0,HU
AL111995,JERRY,1995,1995-08-23 18:00:00+00:00,27.0,-80.2,35.0,1006.0,TS
AL171995,OPAL,1995,1995-10-04 22:00:00+00:00,30.3,-87.1,100.0,942.0,HU
AL101996,JOSEPHINE,1996,1996-10-08 03:30:00+00:00,30.0,-83.9,60.0,983.0,TS
AL051998,EARL,1998,1998-09-03 06:00:00+00:00,30.1,-85.7,70.0,987.0,HU
AL071998,GEORGES,1998,1998-09-25 15:30:00+00:00,24.5,-81.8,90.0,981.0,HU
AL131998,MITCH,1998,1998-11-05 11:00:00+00:00,26.2,-81.9,55.0,989.0,TS
AL101999,HARVEY,1999,1999-09-21 17:00:00+00:00,25.9,-81.7,50.0,999.0,TS
AL131999,IRENE,1999,1999-10-15 13:00:00+00:00,24.6,-81.6,65.0,987.0,HU
AL112000,GORDON,2000,2000-09-18 03:00:00+00:00,29.3,-83.2,55.0,991.0,TS
AL122000,HELENE,2000,2000-09-22 12:00:00+00:00,30.5,-86.6,35.0,1006.0,TS
AL032001,BARRY,2001,2001-08-06 05:00:00+00:00,30.4,-86.3,60.0,990.0,TS
AL082001,GABRIELLE,2001,2001-09-14 12:00:00+00:00,27.1,-82.6,60.0,983.0,TS
AL052002,EDOUARD,2002,2002-09-05 00:45:00+00:00,29.4,-81.1,35.0,1009.0,TS
AL122003,HENRI,2003,2003-09-06 09:00:00+00:00,27.9,-82.8,30.0,1006.0,TD
AL022004,BONNIE,2004,2004-08-12 14:00:00+00:00,29.6,-85.1,40.0,1002.0,TS
AL032004,CHARLEY,2004,2004-08-13 19:45:00+00:00,26.6,-82.2,130.0,941.0,HU
AL062004,FRANCES,2004,2004-09-05 04:30:00+00:00,27.2,-80.2,90.0,960.0,HU
AL112004,JEANNE,2004,2004-09-26 04:00:00+00:00,27.2,-80.2,105.0,950.0,HU
AL042005,DENNIS,2005,2005-07-10 19:30:00+00:00,30.4,-87.1,105.0,946.0,HU
AL122005,KATRINA,2005,2005-08-25 22:30:00+00:00,26.0,-80.1,70.0,984.0,HU
AL222005,TAMMY,2005,2005-10-05 23:00:00+00:00,30.4,-81.4,45.0,1002.0,TS
AL252005,WILMA,2005,2005-10-24 10:30:00+00:00,25.9,-81.7,105.0,950.0,HU
AL012006,ALBERTO,2006,2006-06-13 16:30:00+00:00,29.9,-83.7,40.0,998.0,TS
AL062006,ERNESTO,2006,2006-08-30 03:00:00+00:00,24.9,-80.6,40.0,1003.0,TS
AL022007,BARRY,2007,2007-06-02 14:00:00+00:00,27.5,-82.7,30.0,1000.0,TD
AL102007,TEN,2007,2007-09-22 00:00:00+00:00,30.4,-86.7,25.0,1006.0,TD
AL062008,FAY,2008,2008-08-18 20:30:00+00:00,24.5,-81.8,50.0,998.0,TS
AL042009,CLAUDETTE,2009,2009-08-17 05:30:00+00:00,30.4,-86.5,40.0,1005.0,TS
AL032010,BONNIE,2010,2010-07-23 14:30:00+00:00,25.4,-80.2,35.0,1007.0,TS
AL022012,BERYL,2012,2012-05-28 04:10:00+00:00,30.2,-81.4,55.0,994.0,TS
AL042012,DEBBY,2012,2012-06-26 21:00:00+00:00,29.3,-83.2,35.0,995.0,TS
AL012013,ANDREA,2013,2013-06-06 22:00:00+00:00,29.5,-83.4,50.0,992.0,TS
AL032016,COLIN,2016,2016-06-07 02:00:00+00:00,29.8,-83.6,45.0,1001.0,TS
AL092016,HERMINE,2016,2016-09-02 05:30:00+00:00,30.1,-84.1,70.0,981.0,HU
AL112016,JULIA,2016,2016-09-13 06:00:00+00:00,27.3,-80.2,30.0,1010.0,TD
AL062017,EMILY,2017,2017-07-31 14:45:00+00:00,27.5,-82.7,50.0,1001.0,TS
AL112017,IRMA,2017,2017-09-10 13:00:00+00:00,24.7,-81.5,115.0,931.0,HU
AL012018,ALBERTO,2018,2018-05-28 21:00:00+00:00,30.3,-86.0,40.0,992.0,TS
AL072018,GORDON,2018,2018-09-03 11:15:00+00:00,25.0,-80.5,45.0,1006.0,TS
AL142018,MICHAEL,2018,2018-10-10 17:30:00+00:00,30.0,-85.5,140.0,919.0,HU
AL192020,SALLY,2020,2020-09-12 06:00:00+00:00,25.6,-80.2,30.0,1003.0,TD
AL292020,ETA,2020,2020-11-09 04:00:00+00:00,24.9,-80.7,55.0,993.0,TS
AL052021,ELSA,2021,2021-07-07 14:30:00+00:00,29.8,-83.5,55.0,1000.0,TS
AL062021,FRED,2021,2021-08-16 19:00:00+00:00,29.7,-85.4,55.0,991.0,TS
AL132021,MINDY,2021,2021-09-09 01:15:00+00:00,29.7,-85.1,50.0,1000.0,TS
AL092022,IAN,2022,2022-09-28 02:00:00+00:00,24.6,-82.9,110.0,952.0,HU
AL172022,NICOLE,2022,2022-11-10 07:45:00+00:00,27.6,-80.3,65.0,980.0,HU
AL102023,IDALIA,2023,2023-08-30 11:45:00+00:00,29.9,-83.6,100.0,950.0,HU
AL042024,DEBBY,2024,2024-08-05 11:00:00+00:00,29.7,-83.5,70.0,979.0,HU
AL092024,HELENE,2024,2024-09-27 03:10:00+00:00,30.0,-83.7,120.0,939.0,HU
AL142024,MILTON,2024,2024-10-10 00:30:00+00:00,27.4,-82.6,100.0,958.0,HU
