step,aal_M,oep100_M,oep250_M,delta_aal_M,delta_oep100_M,delta_oep250_M
v2 baseline,3.584,58.28,84.85,,,
+Rmax V&W,3.131,47.01,67.31,-0.453,-11.27,-17.54
+Holland & B,7.579,101.34,135.02,4.448,54.33,67.71
+Asymmetry,8.315,105.33,138.71,0.736,3.99,3.69
+Decay (v3),9.171,113.44,147.15,0.856,8.11,8.44
---,,,,,,
+Rmax only (=C1),3.131,47.01,67.31,-0.453,-11.27,-17.54
+Holland&B only(*),8.228,118.46,164.75,4.644,60.18,79.9
+Asymmetry only,3.924,60.35,86.8,0.34,2.07,1.95
+Decay only,4.44,69.77,102.59,0.856,11.49,17.74
Sum of isolated,,,,5.387,62.47,82.05
Interaction,,,,0.2,-7.31,-19.75
